gene,mrna,protein
Dkc1,42.54,452290.82
Matr3,28.85,664990.61
Fundc2,7.22,316377.08
Lamp2,62.11,570834.62
Pdhb,20.24,509974.03
Ddah1,26.04,398315.87
Rheb,26.56,203443.27
Eef1e1,22.68,381843.68
Fis1,55.22,474966.67
Gclm,34.74,417407.61
Suclg2,19.68,410433.0
Cnih4,10.92,538088.41
Gpx1,227.28,482780.49
Pea15,25.88,467021.54
Sgta,45.56,454801.76
Erp29,40.6,534025.44
Polr2h,26.27,500153.83
Tln1,49.88,499160.53
Eftud2,67.81,487423.66
Cmpk1,17.07,428675.99
Pmm2,18.47,267179.38
Kpna4,24.75,524988.71
Hat1,37.39,416054.07
Tmem43,22.03,454681.38
Nedd8,86.76,318308.96
Myof,80.25,396118.32
Top2a,106.85,410207.05
Tomm70a,39.72,346796.7
Chchd3,25.48,267840.55
Dnajc8,41.15,346257.27
Hadha,18.64,424862.49
Sec11a,58.31,439010.51
Dync1h1,39.71,362995.64
Vars,39.54,364215.99
Mtdh,56.63,418724.13
Gnb2,115.25,434368.14
Wwtr1,484.91,270590.69
Hdlbp,80.21,431914.95
Txndc9,5.65,299273.97
Pno1,23.74,264688.13
Mcm5,53.99,459789.98
Abcf2,72.09,317045.88
Nsdhl,9.07,498169.58
Plscr1,20.71,327378.68
Uchl5,11.13,431730.49
Map2k1,22.35,284958.39
Ard1a,46.39,497655.39
Eif5,58.4,484074.12
Parf,22.16,298479.98
Ttll12,30.14,429632.09
Dek,31.41,388068.03
Cnbp,217.65,401756.0
Gtpbp4,34.74,345208.83
Efhd2,17.22,347865.17
Pak2,18.88,308611.38
Snx3,36.34,471982.73
Caprin1,49.83,587975.39
Igf2bp1,12.41,418931.55
Slc3a2,76.93,478150.53
Ipo7,72.51,569154.49
Blvra,13.1,342375.72
Mrps17,29.32,240040.95
D17Wsu104e,48.5,383574.56
Nup50,32.81,237476.31
Cyb5r1,48.42,341424.53
Eny2,18.07,323615.92
Nasp,23.69,410323.46
Atox1,91.62,297978.0
Tmx1,21.71,308526.14
Tmed9,80.74,402872.68
Scpep1,65.7,659423.29
Adh5,46.94,423275.47
Fam129b,124.4,588236.9
Fubp1,20.82,399171.66
Cav2,22.05,366918.48
Lman2,27.52,423638.41
Apoa1bp,32.09,369241.93
Sf3b14,34.58,351877.14
Ddb1,186.08,378566.12
Txn2,121.7,312029.3
Ndufb5,30.5,296876.96
Sec31a,46.04,392813.66
Atp2a2,90.39,369556.4
Copg,69.22,493900.05
Nmt1,71.73,410422.91
Hmox2,23.77,366096.45
Pafah1b1,29.01,331314.5
Arf6,31.73,596244.72
Ppil1,42.3,306520.5
Bcas2,29.11,348935.47
H2-Q2,206.57,633251.66
Glrx,23.4,224243.54
Fxr1,50.62,333609.15
Cad,37.56,326035.93
Trim28,70.27,508302.15
Bag2,18.52,299570.4
Cyp51a1,30.97,784884.68
Actl6a,38.82,412885.92
Lsm8,39.47,467465.38
Ap2b1,28.07,499746.77
Metap1,34.81,307633.99
Vbp1,22.89,353615.44
Eno3,29.04,405631.96
Sugt1,15.41,375785.73
Napa,27.07,349746.73
Cope,50.23,458819.85
Acads,13.77,312016.45
Gnl3,42.53,248542.71
Rbm14,20.74,288756.16
Pdha1,42.44,302275.75
Hpcal1,22.31,434478.77
Kiaa0020,25.67,245537.87
Sdha,40.33,308763.86
Atp1a1,136.55,400353.0
Pacsin2,65.59,361670.02
Aars,44.05,457904.19
Capn2,55.11,334736.02
Copa,51.91,367322.36
Rdh11,10.12,215358.68
Atp6v1a,20.3,342111.64
Psip1,24.37,327260.08
Mars,41.48,331713.16
Pcmt1,11.98,272934.44
Ociad1,73.72,294596.56
Dbi,58.38,352208.16
Ptbp2,17.9,334498.55
Eif3c,166.0,377111.08
Nop16,27.28,297357.84
Pabpn1,30.19,352046.33
Pfdn6,52.12,219408.47
Dcps,16.64,351380.48
Rprd1b,10.09,425120.2
Cops3,34.9,421981.72
Nras,22.63,378351.91
Shmt1,18.19,295364.7
Lsm12,22.26,259465.17
Wdr61,28.76,390856.17
Tmem11,21.89,221674.73
Rpl22l1,39.02,169763.28
Spcs3,18.56,375454.97
Ppp1cb,27.9,396282.4
Tbcb,32.76,295545.54
Chp,21.22,300586.44
Phf5a,63.98,297853.27
Me1,18.83,409429.92
Tmem109,59.09,388449.18
Pes1,38.95,244877.0
Sdhb,40.11,298859.3
Mtx2,28.02,228399.62
Cops8,27.92,383747.9
Trappc3,33.04,244903.7
Hk1,38.52,355410.79
Npepps,36.81,441294.79
Immt,54.62,301977.67
Poldip3,68.66,222855.57
Mrps34,22.92,216321.29
Ufd1l,20.0,303753.13
Cdk6,27.12,411418.24
Tes,76.12,304234.57
Qars,44.62,438125.61
Tmod3,17.44,322760.79
Rfc4,17.34,271450.76
Fh,27.32,440620.53
Ccdc47,36.8,243335.37
Adi1,44.2,372632.69
Hmgb3,11.02,229933.28
Top1,29.52,335705.98
Cops5,51.93,349230.55
Tubb2b,6.63,756047.51
Cdkn2a,109.83,316024.01
Dctn2,60.49,410741.48
Acadvl,29.38,271266.95
Dazap1,34.75,375822.63
Copb1,42.99,411235.09
Npc2,40.19,376290.75
Brp16,26.84,305913.27
Pgrmc2,22.43,322558.21
Mrps6,69.83,250164.23
Vps35,34.37,380366.44
Lars,32.97,366212.05
Swap70,33.92,349388.44
Rhoa,67.13,375611.34
Rrm2,58.11,308094.18
Grhpr,11.96,321030.97
1810009A15Rik,80.78,248476.23
Ap2m1,50.76,326856.7
Tmem176b,121.26,187923.04
Nedd4,117.47,509534.75
Ddx1,63.37,378584.9
Gls,22.06,374840.83
Slirp,49.16,190026.69
Gpd2,15.2,349506.27
Lta4h,22.6,280279.22
Ubxn1,65.31,339916.97
Dnmt1,64.06,243649.07
nan,35.2,295395.72
Rbm9,27.11,293344.49
Eif5b,18.6,239044.32
Ppm1g,91.22,157602.41
Casp3,20.98,387995.23
Metap2,18.97,278902.09
Ahcyl1,63.06,185649.27
Nfyc,19.07,91720.58
Zfp207,67.5,183044.64
Drg2,29.94,285662.48
Snrnp200,43.27,324014.99
Stub1,45.68,220965.67
Ovca2,10.26,204428.5
Ykt6,33.63,375518.71
Basp1,67.49,114097.13
Mthfd2,56.98,210608.7
Chmp4b,54.89,240253.95
Ubqln2,34.56,470895.9
Srrt,53.13,230724.81
Prep,38.28,308298.54
Pdlim5,30.69,346624.99
Sec13,78.84,397292.8
Kpna3,18.51,268186.41
Gart,28.11,313957.39
Sf3b3,65.26,325949.7
Trappc5,11.93,221036.68
Memo1,25.3,237228.88
Asna1,41.99,299148.2
nan,43.65,393393.07
Tmem126a,37.16,206546.51
Hypk,69.17,243795.4
Ethe1,10.74,308955.27
Zwint,36.54,249178.98
Rbx1,27.3,233913.01
Psmd9,11.02,192088.33
Smarca5,16.71,287880.03
Imp3,31.96,255963.78
Sfxn3,17.17,377174.05
Np,9.32,417307.2
Cbx1,23.84,255693.64
Rpa2,22.18,323626.47
Ttc9c,13.69,272799.27
Sf3a3,39.46,264637.34
0610037L13Rik,8.11,146733.72
Tuba4a,11.22,658352.69
