gene,mrna,protein
Rabgap1,7.89,9669.54
nan,3.16,21472.84
Fdx1,11.62,18834.96
Thoc5,16.83,21163.92
Pkp4,14.41,14702.79
Rasa1,13.1,23273.3
Ilvbl,12.14,21534.94
Gys1,14.92,39183.84
Dctpp1,39.0,12308.82
Gatad2a,19.23,10236.01
Ctsz,26.69,18218.01
Stat1,5.74,72642.66
Clld6,5.08,17326.36
Cep170,15.38,14115.33
Suz12,17.21,18735.39
Gng5,81.27,29394.37
Dnm1,22.75,26635.6
Pld3,16.08,18749.22
Necap2,11.42,22465.97
2010011I20Rik,1.67,17772.33
Ythdc1,19.07,16367.11
Ddx54,28.3,14868.36
Fbxo28,5.74,19988.68
Brd4,24.21,10874.17
Map1a,8.89,10530.71
Rab22a,17.2,22399.3
Fxn,9.99,24330.65
Mrps18a,38.21,12610.22
Gm71,10.58,14754.61
Znrf2,8.57,5791.43
Prrx2,46.69,4091.86
Trim33,7.82,16136.53
Gpn3,19.79,17885.41
Saal1,3.09,28323.03
Stx6,12.93,17758.06
Fbxo22,15.12,20379.25
Bloc1s2,18.24,13977.55
Chka,21.02,41220.93
Elavl2,1.23,24031.12
Wdhd1,8.4,10728.28
Cd14,13.69,20289.41
Plod2,9.26,41803.96
Hars2,5.43,12382.71
Fndc3b,26.35,19991.13
Fam40a,19.0,18324.67
Ppil2,18.66,8158.08
Clip2,16.04,13923.98
Fam32a,11.83,11364.05
Echdc3,3.39,12301.48
Aasdhppt,7.21,19744.29
Senp3,39.38,7552.59
Ube3c,20.96,18779.36
Timm10,24.52,19551.2
Sorbs3,5.8,22100.84
Usp19,24.69,10436.74
Impa2,6.15,12374.23
Agtpbp1,5.39,30409.62
Lamc1,35.94,37437.4
Snap47,16.39,14370.63
Mrpl54,35.98,13115.92
Lrrc8d,42.15,19030.27
Sh3bp1,15.67,17128.07
Nhlrc2,7.17,11754.44
nan,11.95,12204.68
Prune,6.17,33216.87
F3,53.29,35694.79
Tmem49,56.46,42045.75
Rbm15,9.18,13631.86
Fnbp4,12.68,10036.53
Pold2,27.89,23571.26
Grlf1,25.42,11912.94
Tor3a,6.75,32980.67
Usp4,30.42,20450.07
Thumpd3,8.13,13671.1
Pold1,18.28,12177.6
Ep300,17.21,9284.08
Kctd5,11.47,22017.88
Rnmtl1,6.8,10048.28
Papola,26.72,17877.37
Zc3hav1l,2.24,18827.79
Kdelr1,39.07,42546.57
Qsk,13.88,13122.13
Ephb4,12.4,3555.27
Hspb11,5.31,20622.17
Pla2g12a,21.61,7567.94
Kif3c,6.17,21586.07
Osbpl3,12.28,20929.58
Pnpt1,8.11,14305.25
Lmo7,7.32,16484.88
Kdm2a,20.79,17165.6
Rmi1,3.57,18284.17
Chd1,11.12,14360.99
Mkl1,38.21,5272.34
Pex19,8.94,9007.79
Rbbp9,4.2,31627.51
Trip6,36.22,8169.88
Prmt6,14.51,20843.31
Zfpl1,16.69,14443.57
Tmem48,21.29,16498.27
Tmem55b,21.29,7184.38
Smpd4,11.42,19350.35
nan,3.0,19620.02
Kiaa0196,43.52,20266.43
Plp2,108.59,24786.92
Git1,30.97,21735.02
Aifm2,4.64,9396.47
Arfgap3,12.65,21807.01
Polr3b,8.59,14885.56
BC005624,18.39,7446.92
Pppde2,26.76,23423.85
Unc84a,18.71,14686.99
Lrwd1,19.82,5822.99
Hip1,10.2,10672.88
Pdhx,7.48,20092.63
Erlin1,16.31,30300.61
Exoc3,7.92,8144.43
Med23,6.4,11779.76
Rbms1,36.91,35202.64
Eps15,8.19,23622.74
Wrb,6.51,4292.67
Filip1l,23.48,15267.48
Vps37c,11.62,12381.01
nan,15.36,7537.4
Alkbh3,18.44,24156.29
Cdk5rap3,12.04,24197.64
Tmem14c,31.48,31363.56
Rbm6,11.6,6998.06
Fads3,27.63,8360.82
Sc4mol,16.03,25299.47
Mepce,13.95,8790.99
Maged2,22.93,25871.75
Shoc2,8.74,9394.81
Ccdc22,6.3,11540.21
Lsmd1,41.88,14472.58
Kiaa1033,7.35,17812.96
Rps6ka2,9.66,1972.36
Pisd,19.08,11871.83
Rhob,28.87,13049.59
Nudt1,12.62,6046.18
Pcbp3,14.56,25586.45
Txndc15,21.65,14371.94
Ptplad1,18.35,26804.08
Tmem173,9.62,31391.67
Serpine1,98.76,8993.17
Leo1,13.94,15593.89
Pdcd2,15.42,16012.8
Steap1,68.34,24097.26
Dhx33,12.09,5341.67
Tfip11,24.97,12081.49
Med31,5.83,17128.41
Nisch,47.78,18205.54
Rbm10,17.61,18634.54
Cenpk,2.64,21077.93
E330016A19Rik,6.02,14342.54
nan,5.13,6833.5
Itga11,43.76,10987.0
Rad1,9.03,6252.0
Cdh2,21.22,21366.1
Ppig,9.32,12340.14
Nucb2,7.93,29883.51
Dctd,12.6,14445.06
Taok1,10.52,11972.77
Supv3l1,14.78,13007.76
Cnot3,27.75,23010.8
Irf2bp1,10.2,6494.72
Iscu,24.68,7909.17
Mdn1,8.32,11830.42
Dpf2,25.28,18745.32
Ascc3,4.53,25286.13
Btaf1,9.56,12598.86
Pdlim2,15.58,11210.77
Nsmce2,18.98,21031.13
Smad4,14.44,8419.54
Ptgfrn,25.2,16354.4
Slc27a1,14.24,10613.38
Wtap,11.26,19421.25
Lsm14b,22.6,23189.53
Sbno2,13.42,16330.29
Itgav,23.07,18269.64
Gns,28.85,17570.77
1600027N09Rik,7.05,19151.51
Glul,9.21,7538.15
Prcc,25.42,5046.55
Tmem50b,8.14,17237.21
Cdc27,15.5,18677.66
Smn1,32.54,9975.86
Atp13a1,22.76,16956.2
Isg20l2,18.61,16194.21
Rai14,11.33,14245.31
Palld,7.67,18450.88
Nin,4.47,6826.18
Arhgap5,12.9,10865.86
Safb2,18.59,7415.68
Setd3,13.5,11567.92
Asf1a,4.82,17508.84
Ahctf1,19.23,9252.12
Whsc2,15.68,7295.43
Htatip2,6.13,18731.78
Cdc42se2,12.05,9530.48
Extl2,8.47,11832.09
Wdr73,10.73,3431.58
Akap1,21.42,11757.87
Foxk1,9.59,9988.22
Ube2l6,9.47,18453.56
Smyd3,4.0,16906.97
Hectd1,17.78,16071.28
Rab30,4.4,11135.11
Ints12,7.35,3228.96
nan,9.82,13079.73
Ankmy2,6.59,17875.04
Tsg118,18.17,4477.67
Sbno1,10.74,6298.26
Rtf1,10.53,14987.37
Prdx6,67.37,10339.89
Rpia,3.92,15498.84
Wbscr22,19.7,23378.64
Ttc4,10.13,2599.44
Pcyox1l,2.42,19052.31
Slc6a6,46.38,21556.33
Lias,13.41,6503.79
Rabep2,6.14,13530.2
Cp,30.0,10564.99
Tusc1,3.95,8387.68
Tmx2,13.79,29764.28
Rdh13,7.39,4622.82
1810046J19Rik,28.13,17510.3
Rnf20,14.65,9017.91
Hscb,2.93,1226.58
Taf12,10.3,15031.3
Ctdspl2,5.03,5380.63
Ripk1,7.17,14833.57
Rbm16,16.76,13043.8
Chmp1b1,4.52,32405.97
Gamt,5.38,17466.1
Haus4,6.63,7626.1
Rictor,11.63,10267.08
Slc25a17,33.77,28073.45
Kiaa0776,3.05,25370.85
Sfrs15,10.16,3733.6
Cask,4.85,17448.5
Sec11c,10.51,7789.25
Bcs1l,4.86,21093.05
Plscr2,21.77,10450.41
Cnot7,9.39,22115.31
Tceb3,12.24,5815.93
Pbrm1,9.96,15380.75
Mtmr6,6.83,14498.34
Strn4,19.41,9794.14
Parp12,11.3,10593.93
Ffr,10.73,6067.39
Tjp2,6.07,10402.91
Aof2,25.71,22949.41
Kif2c,13.28,10556.76
Atrx,12.83,9822.94
Crat,9.36,8514.49
Eps8,23.2,11505.23
Tmem41b,4.87,9402.62
Ppp1r9b,21.19,10262.64
Pex5,16.05,15997.29
Tfdp1,76.71,9876.72
Cnot8,13.5,27701.07
Trmt5,5.9,18798.91
Tada1l,9.75,7055.46
Larp5,13.79,14593.6
D2Wsu81e,11.52,7820.8
Cdc42bpa,10.02,7036.87
Cars2,10.36,8608.91
Ptpn2,2.33,11768.11
nan,10.13,15425.56
Syf2,15.58,6580.92
Naf1,8.74,14965.08
Camk1,10.82,13993.66
Zc3h18,14.33,11037.32
Pdss1,8.53,14059.34
Heatr2,7.91,12881.2
Kcmf1,30.0,34391.3
D1Bwg0212e,8.43,21424.55
Fam63a,18.16,7677.49
Ctdp1,17.35,10909.65
Copg2,6.64,29764.83
RP23-144K18.5-001,3.07,7763.85
Phax,11.39,10662.89
N6amt1,3.02,3644.83
Sap30bp,14.28,12440.02
Thyn1,22.53,7620.74
Med27,9.99,10944.31
Znf280c,5.5,8204.85
Echdc1,5.52,24693.22
Ptk2,33.31,17751.96
Cpsf1,31.44,11081.51
Timm17b,5.33,21071.29
Rab28,12.62,7040.81
Cirbp,5.27,2587.79
Tarsl2,6.69,17010.64
Ap1s2,2.51,5941.51
Wrnip1,19.49,4140.95
Ddx55,5.87,11403.19
Rsrc2,17.33,1994.76
Sec63,5.99,13724.06
Rbm7,11.29,13873.29
nan,2.86,12863.75
Asb6,18.23,10637.98
Lancl2,5.72,17374.34
Coq7,23.06,4080.36
Ccdc25,5.67,5738.23
Copz2,9.22,21752.0
Dnajc25,7.01,7223.53
RMI2,1.29,4157.34
Nkrf,5.38,10832.89
Smc5,14.56,10748.97
Sec61a2,20.58,10098.31
Chek1,5.83,9371.01
Cby1,13.06,5852.78
Zcchc9,9.5,4013.94
Syap1,9.69,21860.38
Fam82a2,8.2,9498.56
Lama5,45.75,8944.75
Yy1,22.05,7644.19
Casp8,8.21,20056.02
Tmem165,28.86,2204.39
Map2k7,19.99,4922.5
Scfd2,4.05,17654.83
2810408M09Rik,6.54,4607.58
Tmpo,28.73,13067.42
Dctn4,9.58,10067.87
Xrcc4,3.3,12907.39
Acp1,2.5,21795.59
Vps33a,12.49,6471.43
Cbara1,28.16,6015.35
Sra1,17.28,22635.91
Vps4a,11.84,11669.49
Ssbp3,13.84,15654.05
Wdr26,16.89,14925.07
Hnrnpc,32.88,33996.33
Arhgef7,18.46,20979.99
Ankrd57,3.26,12942.44
Coasy,6.73,16808.39
5730494N06Rik,3.19,12806.94
Mphosph6,9.7,16187.61
Ifi30,31.89,19486.47
Bcl2l1,19.88,25868.48
Smarcad1,8.41,13704.29
Zc3h4,9.9,6840.89
Ash2l,35.04,8705.31
Agpat1,21.65,11022.51
Tsku,25.44,2686.35
Ufsp2,10.38,15261.95
Haus2,7.77,23895.86
Fam82b,1.03,11455.26
Dnajc17,4.89,6069.75
Ppwd1,5.23,15603.0
Vcpip1,7.17,7045.1
Ece2,16.7,5461.7
Ercc1,38.11,12450.43
Pigt,16.97,10658.52
Rbm45,10.91,3382.39
Gpn1,19.28,15303.66
Gpatch8,8.81,2733.55
Ube2g1,8.94,29040.59
Golga2,11.05,11039.98
Kiaa1468,3.79,7464.63
Gphn,6.01,16387.21
D10Wsu102e,19.32,12256.01
nan,13.59,8153.76
Laptm4a,86.63,16650.31
Alkbh5,15.07,12709.11
Adnp,15.5,5563.94
Becn1,27.17,3680.35
Tubgcp3,14.67,14559.92
nan,38.07,8198.42
Klhl9,7.95,3463.29
Tpx2,24.3,10537.35
Nsun5,16.14,9380.18
Rnaseh2b,4.09,10518.53
Haus5,8.03,7599.27
Dhx38,13.85,9791.95
Phactr4,13.69,7554.13
Mfsd10,30.38,28447.78
Incenp,35.64,4071.72
Usp10,14.79,10542.98
Ccdc93,4.68,4035.27
Pcbd2,5.75,7653.18
Rpusd4,9.5,4115.45
Gprc5a,29.54,29285.16
Topbp1,32.63,5850.53
Sec24a,4.01,15351.8
Rsf1,3.24,7939.67
Mgmt,8.43,23283.09
Itgb5,59.88,6007.81
Mettl10,7.61,12915.5
Fnbp1l,17.89,25135.19
Wdr75,22.57,12699.46
Kdelc2,5.81,19520.76
Patl1,14.77,15802.8
Orc3l,4.49,7437.46
Vps45,2.98,10177.8
Opa3,14.19,16705.54
Bre,7.43,22586.7
Tm9sf3,26.82,26704.97
Pdcl,5.55,13009.27
Gemin4,10.57,14681.93
Ptpn12,20.7,9513.64
Nsmce4a,25.0,19584.14
Vti1a,4.12,4464.03
Skiv2l,10.34,8997.43
Fam54b,16.89,10420.52
Med6,14.22,5537.81
Ppp4r1,24.65,14451.28
Ncapd3,8.64,3639.83
Htatsf1,9.76,12267.23
Elovl1,28.0,24016.23
Enah,13.47,9303.69
Jup,27.89,14143.4
Trio,16.03,7928.83
Pofut2,28.45,11692.74
Diaph3,13.12,6302.62
Csnk1e,23.97,11283.17
Bloc1s3,2.72,4781.64
Epb41l1,24.9,7665.86
Ubr5,42.56,9769.74
Oxr1,21.43,10900.62
Pitpnb,42.2,3601.7
Cyr61,255.68,6026.35
Slc12a7,14.28,7692.19
Endod1,7.06,13428.62
Hdgfrp2,24.42,12051.36
Gak,26.51,9731.74
Tor2a,10.58,7840.89
Ifi204,9.11,27266.96
Rprd2,5.56,5159.84
Kif1c,18.5,6940.19
nan,4.71,13637.94
Pacsin3,5.83,8936.17
Ca5b,7.7,8381.56
Rrp1b,8.62,3786.6
Rnf11,36.62,9395.64
Nit1,7.94,14625.17
2410001C21Rik,20.58,10447.51
Hus1,4.22,4827.07
Nmd3,28.34,8114.51
Qrich1,25.54,17676.6
Myo5a,11.37,11251.4
Nat2,1.91,19198.99
Fam133b,17.58,7545.95
Obfc1,13.61,17593.13
Spg20,8.2,9469.07
Akt1s1,28.31,18632.17
Tubgcp4,13.44,6483.03
Rabl4,15.74,12670.08
Vrk2,5.37,8652.92
Nf1,8.7,4330.03
Ate1,6.18,9932.05
Zc3h11a,21.7,9221.76
Mif4gd,8.55,9332.2
Rint1,5.13,10688.36
Eif2c2,19.68,10004.8
Lemd2,15.83,3282.14
Ehmt2,32.42,782.23
Solo,12.68,7664.61
Mgat2,20.02,12888.69
Nom1,14.23,7876.07
Ttc37,6.44,6859.89
Fdxr,3.35,7830.21
Adrbk1,27.82,1129.15
Herc4,10.64,19817.3
Plxna1,63.55,8453.94
nan,50.86,29201.41
1810030O07Rik,8.87,12487.16
Pip4k2b,11.85,11442.3
Polr1b,19.67,9409.47
Brwd2,6.88,10486.86
Mms19,13.18,15110.63
Zmat3,11.96,7467.09
Anapc4,27.87,15456.31
Tgfb1i1,20.97,23085.42
Ube2f,20.59,6148.26
Nrf1,9.79,6476.22
2510012J08Rik,23.22,9037.12
Erbb2ip,19.52,9867.76
Acbd5,8.08,5105.12
Slc25a40,3.92,12177.46
Git2,10.16,6548.16
Trim32,10.29,11625.42
Wiz,13.61,5536.15
Haus1,6.03,18797.45
Cnot2,23.02,12893.29
Luzp1,14.12,7899.31
Pom121,24.69,2512.89
Mccc2,6.36,11398.27
Tmem65,8.16,12045.43
Thg1l,8.15,4422.42
Tead1,25.93,7397.24
Ccnc,3.31,8014.29
Plec1,119.56,11062.86
Mapkapk2,48.33,13566.83
Unc5b,84.18,3167.53
Phc2,35.95,11312.91
Mtmr2,23.94,7704.73
Exosc10,36.99,5748.04
Phip,6.4,2314.68
Gclc,17.12,11478.54
Acad8,3.82,7975.97
Med19,10.42,5214.26
Apob48r,11.03,8212.38
Dpp7,11.48,12169.67
Rab43,10.03,23240.49
Ssna1,26.33,1953.04
Heatr5a,12.12,11744.7
Rars2,6.09,11532.66
Fam173a,11.88,21444.5
Mad1l1,19.49,4412.66
Dhx32,8.55,5836.44
Man1b1,17.89,6043.73
Ppp1r13l,3.53,1407.62
Reep3,17.63,3117.73
Ccdc101,13.24,9277.7
Lgals8,20.0,7563.36
Cox15,3.51,10241.15
Ankrd12,1.72,9178.19
nan,9.3,6056.1
Slc4a1ap,9.82,5814.8
1110037F02Rik,8.69,5809.74
Rbm33,8.44,2663.82
Znf22,2.38,2871.3
Fcho2,5.2,11120.39
Coq5,7.48,4964.99
Mad2l1bp,3.99,8948.52
Vamp2,7.43,6278.51
Fam44b,19.45,9550.16
Cdc42bpb,18.8,7501.45
Parvb,24.32,15191.16
Thtpa,4.01,6717.5
Ube2q1,14.18,11302.87
Rab33b,4.51,10718.53
Arfgef2,7.2,8859.16
Gins1,9.0,9081.99
Ccdc75,4.24,15230.8
Pcnt,9.59,4820.32
Stat3,13.63,18066.77
Osbpl9,12.66,10013.74
nan,6.81,6800.43
Mapkap1,10.86,7860.55
Gtf2h4,7.97,5084.79
Cul4a,26.77,8220.94
Rp2,3.51,12959.12
Tapbpl,10.01,10689.87
Ubqln4,24.95,12582.04
Mrps18c,38.62,9220.06
Ogfod1,4.63,5678.29
Wdr33,5.68,2720.26
Ltv1,11.69,9685.2
Ppm1a,19.01,12782.63
Mettl2,12.37,5116.51
C330002I19Rik,9.45,4384.3
Cep55,7.55,8099.85
Wdr37,3.59,10408.81
Prkcd,18.45,8598.79
Rnf114,10.04,5055.96
Upf3b,8.49,5347.52
Morc2a,17.81,5311.16
Dguok,6.03,6219.61
Elmo2,8.01,6623.39
Steap3,9.46,7628.89
Nsbp1,6.78,4414.69
Akap2,19.15,7869.19
Heatr6,8.19,8714.46
1810020D17Rik,4.5,4623.81
Uchl5ip,17.52,5791.94
Smtn,20.84,8556.01
Spin1,21.22,6608.34
Irgq,3.51,7618.14
6330577E15Rik,31.31,12120.24
Itch,6.73,4799.08
Ube2t,5.2,9556.47
Mettl9,28.38,7653.82
Palm2,1.94,5362.5
Keap1,16.18,3384.35
Zc3h14,22.79,2975.99
Pak3,4.58,4244.38
Rnf40,18.06,5564.57
Znf330,16.96,6256.66
Epn1,38.09,8566.08
Ints1,24.27,5043.6
Homer3,20.11,12535.34
Smpd2,5.24,7657.05
Faf1,8.26,9307.53
Itpr3,24.26,9341.39
Xrcc5,5.04,7587.55
Armc8,4.75,4200.37
Anapc1,21.44,7334.45
Adat2,3.01,5588.5
Qtrtd1,10.63,1385.61
Dus3l,12.79,7129.41
Anapc2,18.2,9653.87
Dph2,8.91,7434.33
Psen1,17.73,7269.04
Mid1ip1,14.65,3008.58
Prkcbp1,13.46,4870.92
Orc5l,6.58,9454.29
Igfbp7,93.32,4900.48
Arsb,15.46,11648.3
Znf828,11.97,5871.29
Bckdha,7.31,5013.91
Rock1,5.54,4637.79
Wars2,3.33,5567.31
Kif1b,5.7,4951.7
nan,3.1,3445.49
Lpcat1,15.75,9665.0
Alkbh6,7.7,8253.93
Mfn1,11.51,7284.26
Exoc4,14.68,9627.53
Slc7a6os,15.42,5713.49
Upp1,10.58,7907.08
Lemd3,4.02,4900.9
Ints5,20.85,6521.26
Gulp1,1.56,5182.16
Grk6,36.89,1203.38
Smg5,43.73,7175.26
Fam111a,19.89,8114.95
Gusb,26.84,8221.76
Ttl,5.57,4819.83
AU022252,2.78,11783.53
Nme7,8.34,5918.3
Cept1,9.64,11108.89
Id1,49.68,3077.45
Gstz1,3.88,11182.17
Kif22,15.78,5038.43
Rif1,9.93,4796.51
Akirin2,16.79,4454.77
Agpat9,4.2,3886.11
Rdh14,5.09,7222.07
Gnao1,3.55,7655.97
Tagap1,9.32,920.29
Cugbp2,2.83,2519.6
Nol8,7.81,5404.42
Exoc1,9.29,7371.89
Plcg1,13.84,4970.66
Wbp4,4.59,6012.08
Arhgap10,13.11,4424.96
Bub1b,21.8,1629.74
Cox11,6.1,7437.67
Unc84b,40.82,3035.38
Rnf121,19.14,6696.53
nan,15.71,3129.5
Usp8,13.07,3771.99
Map4k4,52.76,6719.06
Tardbp,20.89,5078.22
Gtf3c4,11.16,7244.4
Exoc2,6.08,12979.35
Clptm1,24.52,6684.59
Ncor2,27.43,7312.2
Sc65,30.57,12678.75
Man1a2,10.75,8966.65
Saps1,37.1,6859.53
Egfr,7.81,8465.56
Ldlrap1,10.34,10341.12
Tjap1,27.6,3549.93
Slc16a13,52.38,5809.13
Xpnpep3,4.6,9317.64
Tram1,9.31,11185.45
Rngtt,3.61,7134.8
Rps6ka3,7.71,4475.07
Akap9,6.45,5593.15
Heatr5b,6.87,5553.03
nan,8.93,3581.13
Cyld,8.91,5870.93
Cytsa,11.26,4562.36
Kiaa2013,22.59,2240.57
Tgoln2,23.15,4683.99
Kiaa0907,21.47,4023.34
Slc25a33,9.88,1547.96
Kin,6.14,4397.94
Zbtb7a,9.02,4854.52
Kri1,16.94,2911.27
Oxnad1,3.23,25099.14
Pten,10.85,8207.7
Orc1l,5.13,4929.22
Hspa12b,5.5,5877.74
Sec16a,10.7,3942.81
Med22,22.93,20797.16
Slc39a11,12.41,9301.51
Col6a2,71.79,9449.44
Clk1,18.41,7193.35
Bcar1,22.98,7143.7
Mcm3ap,14.89,4204.78
Gtf2h2,8.34,5781.46
Adarb1,9.07,5436.2
Map6,17.07,4699.92
Cul2,6.71,8018.04
Dusp14,9.76,6213.29
Fbxo4,3.47,2966.95
Gtf2h3,6.51,5340.18
Efha1,7.55,8124.68
Adam10,26.1,7081.13
Parp10,23.89,8073.3
Lpcat4,20.76,6000.76
Ptcd2,12.82,1707.11
Gbp4,5.69,20369.66
Cdkn2aip,2.51,4929.28
Cdc40,5.95,5336.38
D330001F17Rik,12.9,5382.08
Ctcf,16.11,4664.68
Ubn2,2.89,4001.18
Mapk9,6.24,10104.18
Slc29a1,43.42,3949.33
Gcfc,10.63,5187.79
Ccdc94,6.94,3985.34
Vps53,10.08,5286.56
Ptplb,5.54,10967.06
Stk16,15.8,6394.89
Hook3,2.46,8866.01
Nfkb1,31.33,9752.76
Mphosph1,6.35,3664.84
Kank2,12.31,6964.01
Fzr1,26.55,3386.9
Snx24,3.19,10105.55
Ascc1,9.23,8764.66
Ermp1,5.36,14448.65
Mut,4.83,5035.0
Xrn1,4.75,5514.67
Pex16,6.07,6770.66
Klhl22,29.87,4062.66
Agl,4.69,1966.8
Slc1a4,13.13,12710.2
Arhgap17,8.89,5954.84
Tmem59,50.18,4866.55
BC037112,9.35,1957.36
Gpkow,4.18,6717.73
Polr3c,25.42,1263.2
Shq1,9.03,4358.89
Lgtn,11.04,11656.33
Riok1,12.48,4336.32
Mtfr1,18.69,2488.41
Wapal,15.16,2420.85
Mafk,11.2,2502.52
Cul7,11.42,5080.53
Orc6l,19.22,1908.49
Sikea,4.98,1743.32
Rbm5,14.08,10270.59
Mboat7,11.56,9375.9
1110004E09Rik,12.77,5413.03
Twistnb,10.3,7054.86
Triobp,10.81,5117.35
Anapc5,67.76,7480.37
Yap1,26.73,8259.87
Arih2,13.28,5015.35
Ppm1l,9.07,15558.85
DSCC1,8.82,6188.85
Rbmx,11.15,4293.24
Ahcyl2,4.08,2550.48
Ctage5,19.8,9447.78
Morc3,13.19,3769.57
nan,21.56,4023.38
Ftsjd2,20.24,8378.49
Col5a1,54.26,9055.59
Atg16l1,11.84,2046.76
Ttc27,10.2,11394.42
Caskin2,7.6,6362.65
Mapk8ip3,14.31,1081.3
Ehmt1,9.68,2306.23
Aer61,11.46,6402.75
Trip11,4.15,5433.12
Coq9,7.45,4067.58
Rps6ka4,26.94,5371.76
Sqrdl,2.87,5071.02
Tulp3,9.13,1724.75
nan,9.53,10583.65
Coil,4.03,6933.86
Cux1,7.6,4246.74
BC059842,3.36,3471.74
Ranbp9,15.9,7668.5
Znf148,5.54,1621.66
Diaph2,3.62,5493.33
Ube2q2,7.93,6142.85
Setdb1,22.13,2889.11
Ccdc9,10.88,6125.81
Ube2cbp,3.72,2100.3
Tspan6,8.9,13894.38
Fundc1,6.55,10974.32
nan,1.93,6036.67
Dapp1,5.17,3352.26
Dpp9,20.34,6936.61
Vps33b,4.67,4117.49
Fpgs,13.76,6014.62
Mrpl55,7.24,8260.69
Golph3l,5.03,4659.88
Map2k6,7.02,15389.23
Arhgef1,12.35,6819.79
Col4a3bp,7.39,5106.65
Rg9mtd1,11.7,7135.24
Fermt2,17.18,13404.2
Clasp2,6.14,1215.54
Lypla3,6.07,4644.8
Riok2,14.2,3195.1
Fam160a2,8.57,4637.31
Kct2,43.67,10659.09
Mvd,4.72,11951.67
Pccb,5.27,4365.39
Zyg11b,4.63,1505.9
Wasf1,4.02,2721.01
nan,18.65,5796.38
Dscr3,10.09,4022.96
Syne2,4.29,3347.36
Isca2,8.05,5386.18
Med15,22.69,5859.37
Rufy3,1.5,2757.82
Mprip,49.7,3235.05
Ccdc55,8.84,5720.37
Rdbp,22.89,3557.96
Procr,19.04,27837.39
nan,4.24,3946.91
Gbe1,5.47,6749.31
Chmp7,7.97,5367.5
Ndc80,7.87,5874.01
Usp24,9.9,4379.15
Ccdc90a,5.96,3863.86
Tap1,6.44,15702.62
Sgk269,22.61,5890.21
4933421E11Rik,5.13,3113.27
Mtmr10,8.77,5621.86
Tnpo2,23.71,8720.7
Nup98,26.97,4127.29
Appbp2,24.07,1363.76
Myo6,1.31,640.06
Uaca,20.4,3903.71
Rabep1,14.53,6613.4
Tmtc3,7.49,7695.46
Nfib,9.11,7103.53
2700097O09Rik,4.3,6012.52
Trex1,9.59,8012.23
Mgea5,25.14,14301.28
Vps13a,4.86,5071.66
nan,9.61,7751.8
MNCb-4931,17.51,1267.4
Surf2,19.67,5458.68
Mis12,16.77,5590.95
Abcb7,4.96,5159.32
Camk2g,8.18,10719.56
Tbrg1,68.74,5398.06
Abcc1,39.99,5857.97
Phf14,4.19,3674.63
Commd6,6.97,7390.89
Zc3h7b,31.81,7095.15
Rtkn,9.19,1746.52
Trappc2l,15.41,8194.99
Gtf3c5,11.17,3542.8
Gne,3.22,5238.65
nan,11.86,2448.43
Fut8,17.97,4467.56
Tbl1xr1,4.02,3403.45
RP23-263M10.5,3.71,2028.18
Gipc1,9.35,8286.02
Dhps,10.16,3859.14
Pcf11,4.8,1414.23
Zmym4,6.43,1509.85
Glce,16.52,4061.54
Fam118a,11.06,6263.59
Klc2,7.91,1619.03
2410091C18Rik,5.04,5560.65
Agpat4,13.02,5078.67
Bcr,17.24,3542.51
Sardh,16.49,5270.38
Zwilch,5.62,2821.03
Ckap2,16.29,3943.33
Exoc5,8.39,5606.17
Rabgef1,10.46,7367.94
Dvl2,15.16,7648.07
nan,14.24,5096.59
Galnt10,27.01,4480.29
Haus3,12.61,5088.3
Cc2d1a,14.08,6633.64
Tln2,5.98,6129.63
Mcart1,9.71,4672.47
Atm,6.94,4343.86
Ppap2b,11.32,9532.66
Znf771,13.68,1630.15
Xpo4,9.54,5143.04
Zmym2,3.05,5005.96
Kdelr3,39.92,22883.75
Skp2,14.47,3401.5
Fryl,5.72,5431.14
Atg7,5.8,6758.34
Mak10,16.14,2533.61
Pigx,8.91,3137.19
G6pc3,3.28,5435.67
Htt,7.6,5067.54
Camlg,11.18,6166.53
Smc6,12.88,6125.78
Hectd3,4.09,3126.77
Ncoa3,6.97,2314.56
Appl1,3.28,4855.76
Eif4g1,152.93,4955.76
Actr6,2.49,3036.29
Clcc1,8.26,4066.57
Katna1,8.87,4544.97
Gcc1,4.07,2036.57
Tbc1d23,5.75,3006.19
Trim65,4.06,1078.4
Dhcr24,27.37,11288.48
Tpbg,11.77,10672.92
Sept10,12.03,4133.47
Mmp14,27.89,5613.77
Gtlf3b,5.16,8511.42
Pik3r1,9.51,5893.49
Plcb3,9.5,5231.46
Slc35b1,40.79,4702.35
Ccdc51,1.53,4615.64
Mtif2,5.41,2496.86
Znhit6,11.21,4004.45
Casp7,3.72,6345.93
Vps13c,2.89,3810.81
Smg1,14.31,4254.26
Add1,16.59,7391.11
Akr1c12,10.24,7752.14
Hdac6,5.48,3014.04
Ubp1,16.96,6961.69
Usp3,13.1,5991.98
Ttk,9.71,2181.85
Ly75,7.15,2689.49
Bmcc1,8.08,3216.68
Fez2,61.4,6880.97
Flad1,8.6,9263.36
Lrrc8c,17.7,6515.48
Spast,4.54,2522.92
Ptk7,10.18,4340.37
Pip5k1a,20.47,4440.1
Mkln1,13.71,3789.1
Kirrel,50.38,6692.39
Lrig1,39.02,1957.88
Dda1,13.38,4688.7
Txnrd3,5.14,2143.88
Nipbl,16.11,4523.86
Pvrl2,7.06,5750.82
